,Title,Year,RuntimeMin,GenreMain,RatingAvg,Votes,Studio,GrossLifetime,Awards,Nominations
53338,Inside Out,1975,97,Comedy,5.9,354.0,BV,356461711.0,1.0,2.0
53351,Jaws,1975,124,Adventure,8.0,526808.0,Uni.,260000000.0,3.0,4.0
53510,Nashville,1975,160,Comedy,7.7,22390.0,Par.,9984123.0,1.0,5.0
53685,Shampoo,1975,109,Comedy,6.3,10287.0,Col.,49407734.0,1.0,4.0
53896,All the President's Men,1976,138,Biography,8.0,97612.0,WB,70600000.0,4.0,8.0
54355,King Kong,1976,134,Adventure,5.9,28654.0,Uni.,218080025.0,3.0,4.0
54356,King Kong,1976,134,Adventure,5.9,28654.0,Uni.,218080025.0,1.0,2.0
54417,The Little Mermaid,1976,84,Drama,7.1,597.0,BV,111543479.0,2.0,3.0
54503,Network,1976,121,Drama,8.1,138618.0,MGM,23689877.0,4.0,10.0
54538,The Omen,1976,111,Horror,7.5,102838.0,Fox,60922980.0,1.0,2.0
54644,Rocky,1976,120,Drama,8.1,497103.0,UA,117235147.0,3.0,10.0
54735,A Star Is Born,1976,139,Drama,6.1,9412.0,WB,4335968.0,1.0,8.0
54736,A Star Is Born,1976,139,Drama,6.1,9412.0,WB,4335968.0,1.0,4.0
54737,A Star Is Born,1976,139,Drama,6.1,9412.0,WB,4335968.0,2.0,7.0
54937,Annie Hall,1977,93,Comedy,8.0,244743.0,UA,38251425.0,4.0,5.0
55068,Close Encounters of the Third Kind,1977,138,Drama,7.6,176145.0,Col.,135189114.0,2.0,8.0
55980,The Buddy Holly Story,1978,114,Biography,7.2,7856.0,Col.,14363400.0,1.0,3.0
56037,Coming Home,1978,127,Drama,7.3,11802.0,UA,32653905.0,3.0,8.0
56066,Days of Heaven,1978,94,Drama,7.9,49300.0,Par.,3446749.0,1.0,4.0
56070,Death on the Nile,1978,140,Crime,7.3,26514.0,Par.,14560084.0,1.0,1.0
56072,The Deer Hunter,1978,183,Drama,8.1,298424.0,Uni.,48979328.0,5.0,9.0
56270,Whiplash,1974,90,Action,5.8,15.0,SPC,13092000.0,3.0,5.0
56428,Midnight Express,1978,121,Biography,7.6,69878.0,Col.,35000000.0,2.0,6.0
56521,Beauty and the Beast,1978,91,Fantasy,7.6,1031.0,BV,218967620.0,2.0,6.0
56729,Superman,1978,143,Action,7.3,153800.0,WB,134218018.0,1.0,3.0
56905,Alien,1979,117,Horror,8.4,752887.0,Fox,80931801.0,1.0,2.0
56909,All That Jazz,1979,123,Drama,7.9,26260.0,Fox,37823676.0,4.0,9.0
56933,Apocalypse Now,1979,147,Drama,8.4,578710.0,MGM,83471511.0,2.0,8.0
56972,Being There,1979,130,Comedy,8.0,62992.0,MGM,30177511.0,1.0,2.0
56998,The Black Stallion,1979,118,Adventure,7.3,11183.0,UA,37799643.0,1.0,2.0
57021,Breaking Away,1979,101,Comedy,7.7,20853.0,Fox,16424918.0,1.0,5.0
57059,The Champ,1979,121,Drama,6.9,7534.0,MGM,30441738.0,2.0,4.0
57544,Norma Rae,1979,114,Drama,7.3,9878.0,Fox,22228000.0,2.0,4.0
57676,The River,1977,NaN,Action,4.6,8.0,Uni.,11489982.0,1.0,4.0
57773,Star Trek,1979,132,Adventure,6.4,78376.0,Par.,257730019.0,1.0,4.0
57807,Tess,1979,170,Drama,7.3,14420.0,Col.,20093330.0,3.0,6.0
58110,Coal Miner's Daughter,1980,124,Biography,7.5,15954.0,Uni.,67182787.0,1.0,7.0
58397,The Jazz Singer,1980,115,Drama,5.9,3696.0,Uni.,27118000.0,1.0,1.0
58531,Melvin and Howard,1980,95,Comedy,6.8,4234.0,Uni.,4309490.0,2.0,3.0
58619,Ordinary People,1980,124,Drama,7.7,44602.0,Par.,54766923.0,4.0,6.0
58697,Raging Bull,1980,129,Biography,8.2,306978.0,MGM,23383987.0,2.0,8.0
59034,An American Werewolf in London,1981,97,Comedy,7.5,87298.0,Uni.,30565292.0,1.0,1.0
59039,Amy,1981,100,Drama,6.6,264.0,A24,8413144.0,1.0,1.0
59046,Arthur,1981,97,Comedy,6.9,24912.0,WB,95461682.0,2.0,4.0
59134,Chariots of Fire,1981,125,Biography,7.2,52002.0,Col.,58972904.0,4.0,7.0
59372,Quest for Fire,1981,100,Adventure,7.3,19901.0,Fox,20959585.0,1.0,1.0
59635,On Golden Pond,1981,109,Drama,7.6,26461.0,Uni.,119285432.0,3.0,10.0
59732,Raiders of the Lost Ark,1981,115,Action,8.4,850066.0,Par.,248159971.0,5.0,8.0
59739,Reds,1981,195,Biography,7.3,19892.0,Par.,40382659.0,3.0,12.0
60252,The Patriot,1982,165,Action,6.0,497.0,Sony,113330342.0,1.0,5.0
60369,Gandhi,1982,191,Biography,8.0,212754.0,Col.,52767889.0,8.0,11.0
60609,Missing,1982,122,Biography,7.7,17660.0,Uni.,14000000.0,1.0,4.0
60611,The Mission,1983,103,Drama,6.6,165.0,WB,17218023.0,1.0,7.0
60674,An Officer and a Gentleman,1982,124,Drama,7.0,46732.0,Par.,129795554.0,2.0,6.0
60690,The Wizard of Oz,1982,78,Adventure,6.8,333.0,MGM,22342633.0,2.0,17.0
60866,Sophie's Choice,1982,150,Drama,7.6,39565.0,Uni.,30036000.0,1.0,5.0
60913,Tempest,1982,140,Comedy,6.5,2082.0,Col.,5005245.0,1.0,1.0
60925,All the King's Men,1983,100,Action,7.8,46.0,Sony,7221458.0,3.0,7.0
60931,Tootsie,1982,116,Comedy,7.4,93779.0,Col.,177200000.0,1.0,10.0
61378,Flashdance,1983,95,Drama,6.2,45335.0,Par.,92921203.0,1.0,4.0
61491,Independence Day,1983,110,Drama,6.4,435.0,Fox,306169268.0,1.0,2.0
61832,The Right Stuff,1983,193,Adventure,7.8,54184.0,WB,21192102.0,4.0,8.0
61917,Beauty and the Beast,1983,87,Drama,7.0,468.0,BV,218967620.0,2.0,6.0
61989,Tender Mercies,1983,92,Drama,7.4,8894.0,Uni.,8443124.0,2.0,5.0
61991,Terms of Endearment,1983,132,Comedy,7.4,52402.0,Par.,108423489.0,5.0,11.0
62130,The Year of Living Dangerously,1982,115,Drama,7.1,18638.0,WB,10278575.0,1.0,1.0
62132,Yentl,1983,133,Drama,6.5,12036.0,MGM,40218899.0,1.0,5.0
62199,Amadeus,1984,160,Biography,8.3,354381.0,Orion,51973029.0,8.0,11.0
62597,Indiana Jones and the Temple of Doom,1984,118,Action,7.6,428758.0,Par.,179870271.0,1.0,2.0
62660,The Killing Fields,1984,141,Biography,7.8,49523.0,WB,34700291.0,3.0,7.0
62890,A Passage to India,1984,164,Adventure,7.3,16287.0,Col.,27187653.0,2.0,11.0
62911,Places in the Heart,1984,111,Drama,7.3,9808.0,TriS,34901614.0,2.0,7.0
62937,Purple Rain,1984,111,Drama,6.6,18675.0,WB,70261052.0,1.0,1.0
62953,The Razor's Edge,1984,128,Drama,6.6,4827.0,Col.,6551987.0,1.0,4.0
62972,The River,1984,124,Drama,6.3,6114.0,Uni.,11489982.0,1.0,4.0
63260,The Woman in Red,1984,87,Comedy,5.9,13315.0,Orion,25308147.0,1.0,1.0
63373,The Aviator,1985,96,Adventure,5.5,1071.0,Mira.,102610330.0,5.0,11.0
63376,Back to the Future,1985,116,Adventure,8.5,994803.0,Uni.,210609762.0,1.0,4.0
63489,Cocoon,1985,117,Comedy,6.7,54851.0,Fox,76113124.0,2.0,2.0
63827,King Solomon's Mines,1985,100,Action,5.3,12019.0,Can.,15057465.0,2.0,3.0
63829,Kiss of the Spider Woman,1985,120,Drama,7.4,13603.0,IsAl,17005229.0,1.0,4.0
63915,Mask,1985,120,Biography,7.2,25007.0,Uni.,48230162.0,1.0,1.0
64011,No Man's Land,1985,110,Drama,6.5,94.0,MGM,1012153.0,1.0,1.0
64055,Out of Africa,1985,161,Biography,7.2,68618.0,Uni.,87071205.0,7.0,11.0
64119,Prizzi's Honor,1985,130,Comedy,6.7,21926.0,Fox,26657534.0,1.0,8.0
64155,Ran,1985,162,Action,8.2,105437.0,OrionC,4135750.0,1.0,4.0
64365,The Trip to Bountiful,1985,108,Drama,7.5,3870.0,Isld,7491903.0,1.0,2.0
64389,Underworld,1985,103,Action,4.2,881.0,SGem,51970690.0,1.0,1.0
64460,White Nights,1985,136,Drama,6.7,6426.0,Col.,42160849.0,1.0,2.0
64467,Witness,1985,112,Crime,7.4,82518.0,Par.,68706993.0,2.0,8.0
64552,Aladdin,1986,95,Adventure,5.4,2836.0,BV,217350219.0,2.0,5.0
64553,Aliens,1986,137,Action,8.3,628357.0,Fox,85160248.0,2.0,7.0
64702,Children of a Lesser God,1986,119,Drama,7.2,14355.0,Par.,31853080.0,1.0,5.0
64723,The Color of Money,1986,119,Drama,7.0,71354.0,BV,52293982.0,1.0,4.0
64863,The Fly,1986,96,Drama,7.5,152352.0,Fox,40456565.0,1.0,1.0
64937,Hannah and Her Sisters,1986,107,Comedy,7.9,64447.0,Orion,40084041.0,3.0,7.0
64983,The Last Emperor,1986,89,Drama,5.1,69.0,Col.,43984230.0,9.0,9.0
65009,Inside Out,1986,87,Drama,6.3,194.0,BV,356461711.0,1.0,2.0
65193,The Mission,1986,125,Adventure,7.4,53626.0,WB,17218023.0,1.0,7.0
65342,The Patriot,1986,88,Action,2.8,309.0,Sony,113330342.0,1.0,5.0
65364,Platoon,1986,120,Drama,8.1,367296.0,Orion,138530565.0,4.0,8.0
65437,A Room with a View,1985,117,Drama,7.3,37626.0,Cinc,20966644.0,3.0,8.0
65587,Top Gun,1986,110,Action,6.9,278216.0,Par.,179800601.0,1.0,4.0
65838,Beauty and the Beast,1987,94,Family,6.1,599.0,BV,218967620.0,2.0,6.0
65992,Dead Man Walking,1988,90,Action,5.1,301.0,Gram.,39363635.0,1.0,4.0
66027,Dirty Dancing,1987,100,Drama,7.0,191188.0,Vest,63954274.0,1.0,1.0
